Date,Time,Day,Trial,Animal,Trial Code,Strategy,IPE,Velocity,Distance covered,Average distance to goal,Average heading error,Percent of maze traversed,Latency,Score,Initial heading error,Entropy,Distance to swim path centroid,Average distance to centre of maze,Percent in angular corridor,Percent in annulus zone,Percent in smaller thigmotaxis zone,Percent in full thigmotaxis zone,Strategy (manual)
31,31-1,31-1 0 31,Scanning,4035.35,22.03,1321.08,71.14,85.45,9,59.98,1,28.71477048625009,0,22.08,71.14,0.43,0.0,0.0,0.0,
32,31-1,31-1 0 32,Indirect Search,179.34,55.54,173.27,89.08,56.96,3,3.12,2,62.27789426891025,0,15.1,89.08,0.52,0.0,0.0,0.0,
33,31-1,31-1 0 33,Not Recognized,96.23,36.95,86.45,50.96,107.88,2,2.34,0,47.70528260887363,0,10.72,50.96,0.16,0.0,0.0,0.0,
34,31-1,31-1 0 34,Indirect Search,245.06,48.15,182.99,96.75,62.6,5,3.8,2,48.52958553910973,0,18.81,96.75,0.0,0.0,0.0,0.0,
35,31-1,31-1 0 35,Not Recognized,168.17,37.33,121.34,60.1,94.64,4,3.25,0,50.396688301114494,0,21.33,60.1,0.03,0.0,0.0,0.0,
36,31-1,31-1 0 36,Scanning,2271.38,24.22,810.8,74.02,83.65,13,33.47,1,34.828957982984235,0,27.41,74.02,0.39,0.0,0.0,0.0,
37,31-1,31-1 0 37,Scanning,2344.04,21.64,830.55,62.49,93.61,10,38.38,1,71.05787146957265,0,26.78,62.49,0.11,0.0,0.0,0.0,
38,31-1,31-1 0 38,Scanning,3850.8,20.77,1245.85,65.02,93.05,13,59.98,1,88.70562365157558,0,26.64,65.02,0.09,0.0,0.0,0.0,
39,31-1,31-1 0 39,Scanning,920.73,24.13,372.09,75.08,85.86,5,15.42,1,38.13855427211641,0,19.75,75.08,0.43,0.0,0.0,0.0,
2,31-1*,31-1* 0 2,Not Recognized,251.92,32.65,143.32,65.54,114.22,4,4.39,0,122.5443979887893,0,21.75,65.54,0.04,0.0,0.0,0.0,
40,31-1,31-1 0 40,Indirect Search,154.19,54.23,148.05,94.41,45.28,4,2.73,2,26.482652419096564,0,9.88,94.41,0.34,0.0,0.0,0.0,
41,31-1,31-1 0 41,Not Recognized,139.81,31.88,97.88,58.06,113.3,2,3.07,0,43.68031454195452,0,11.75,58.06,0.09,0.0,0.0,0.0,
42,31-1,31-1 0 42,Not Recognized,371.51,40.27,206.97,97.77,77.19,4,5.14,0,69.13908673523825,0,22.17,97.77,0.0,0.0,0.0,0.0,
43,31-1,31-1 0 43,Indirect Search,148.11,60.53,151.93,98.22,35.06,3,2.51,2,30.627868800911827,0,9.89,98.22,0.11,0.0,0.0,0.0,
44,31-1,31-1 0 44,Scanning,395.5,27.59,171.35,70.01,109.29,5,6.21,1,109.69327054112756,0,22.21,70.01,0.0,0.0,0.0,0.0,
45,31-1,31-1 0 45,Not Recognized,527.95,31.32,223.59,97.47,77.84,4,7.14,0,63.232174438459715,0,22.12,97.47,0.0,0.0,0.0,0.0,
46,31-1,31-1 0 46,Not Recognized,263.4,25.04,114.7,69.89,119.78,3,4.58,0,89.00105422069038,0,14.79,69.89,0.0,0.0,0.0,0.0,
47,31-1,31-1 0 47,Scanning,4166.96,24.08,1444.2,73.25,90.85,12,59.98,1,61.56026624094198,0,29.59,73.25,0.3,0.0,0.0,0.0,
48,31-1,31-1 0 48,Not Recognized,37.14,188.94,124.7,71.6,86.99,3,0.66,0,86.99294196273704,0,15.22,71.6,0.0,0.0,0.0,0.0,
49,31-1,31-1 0 49,Not Recognized,180.8,52.42,149.93,98.71,81.41,2,2.86,0,56.40026496724161,0,10.72,98.71,0.23,0.0,0.0,0.0,
50,31-1,31-1 0 50,Not Recognized,243.32,30.7,121.25,71.21,108.87,4,3.95,0,51.72861088257958,0,23.29,71.21,0.05,0.0,0.0,0.0,
3,31-1*,31-1* 0 3,Not Recognized,183.75,52.2,144.59,103.72,95.6,2,2.77,0,103.2084076827926,0,11.4,103.72,0.03,0.0,0.0,0.0,
