31-1.13,5/28/2007.1,7:33 AM
x,y,t
50.72,95.66,0.01
50.50,96.10,0.08
50.05,96.10,0.15
49.16,95.66,0.25
47.83,94.99,0.35
46.94,93.21,0.45
46.05,91.21,0.55
45.38,88.76,0.65
45.16,86.54,0.75
45.16,84.76,0.85
45.83,83.65,0.95
47.16,82.09,1.05
48.27,80.98,1.15
49.39,79.86,1.25
49.61,78.31,1.35
50.28,77.19,1.45
50.72,76.08,1.55
51.83,75.64,1.65
52.50,74.97,1.75
53.39,74.53,1.85
54.06,73.86,1.95
54.50,73.19,2.05
55.62,72.30,2.15
56.28,70.74,2.25
56.95,69.19,2.35
57.84,68.07,2.45
58.51,67.41,2.55
59.18,66.74,2.65
59.40,66.74,2.75
59.84,66.74,2.85
60.07,67.18,2.95
59.62,67.85,3.05
58.95,68.74,3.15
57.84,69.41,3.25
56.06,69.85,3.35
53.84,70.08,3.45
51.83,69.63,3.55
50.28,68.74,3.65
48.72,67.18,3.75
47.83,65.40,3.85
47.38,63.18,3.95
46.94,60.51,4.05
46.49,58.29,4.15
46.94,56.51,4.25
47.38,55.39,4.35
48.27,54.73,4.45
49.16,54.28,4.55
50.50,53.39,4.65
51.61,53.17,4.75
53.17,52.50,4.85
54.28,52.50,4.95
55.39,52.95,5.05
56.73,53.61,5.15
57.84,54.73,5.25
58.73,55.84,5.35
59.40,57.40,5.45
59.40,59.18,5.55
59.18,61.62,5.65
58.51,63.62,5.75
57.62,65.63,5.85
56.28,68.07,5.95
54.73,69.41,6.05
53.17,70.52,6.15
51.39,70.74,6.25
49.83,70.74,6.35
47.83,69.85,6.45
46.27,68.96,6.55
44.49,67.63,6.65
42.94,65.85,6.75
41.82,63.85,6.85
41.16,62.07,6.95
41.16,60.07,7.05
41.60,58.29,7.15
42.27,57.17,7.25
43.16,56.28,7.35
44.27,55.84,7.45
45.61,55.17,7.55
46.94,55.17,7.65
48.50,54.73,7.75
50.05,54.28,7.85
52.28,54.06,7.95
54.06,54.06,8.05
56.06,54.28,8.15
58.29,54.95,8.25
60.51,55.62,8.35
62.51,56.28,8.45
64.74,57.17,8.55
67.41,58.06,8.65
69.63,58.51,8.75
72.30,59.18,8.85
74.53,59.84,8.95
77.19,60.51,9.05
79.64,61.62,9.15
82.09,62.73,9.25
84.09,64.07,9.35
