31-1.47,6/7/2007,10:26 AM.1
x,y,t
56.37,88.64,0.00
56.81,88.20,0.08
57.47,87.54,0.18
58.14,86.43,0.28
58.80,84.89,0.38
59.46,83.34,0.48
60.13,81.13,0.58
61.23,79.14,0.68
62.56,76.49,0.78
64.33,73.83,0.88
66.10,71.40,0.98
68.09,68.75,1.08
70.52,66.54,1.18
72.51,64.11,1.28
74.50,61.23,1.38
76.49,58.36,1.48
77.15,55.26,1.58
77.37,52.61,1.68
76.49,50.62,1.78
74.94,49.07,1.88
72.95,48.19,1.98
71.18,47.08,2.08
69.63,45.98,2.18
68.31,44.21,2.28
68.09,42.44,2.38
68.31,40.01,2.48
69.41,38.24,2.58
70.74,36.25,2.68
72.51,35.37,2.78
74.27,34.48,2.88
75.60,35.37,2.98
76.93,36.03,3.08
77.59,37.58,3.18
77.59,39.57,3.28
77.15,41.34,3.38
75.82,43.33,3.48
74.05,44.65,3.58
71.62,45.76,3.68
69.19,46.64,3.78
66.76,46.42,3.88
64.55,45.54,3.98
62.34,44.43,4.08
60.35,43.33,4.18
59.02,43.33,4.28
57.47,43.77,4.38
56.37,44.65,4.48
55.93,45.98,4.58
55.26,47.53,4.68
54.60,49.52,4.78
53.50,51.06,4.88
51.28,52.39,4.98
49.07,53.50,5.08
46.86,54.16,5.18
44.43,54.60,5.28
42.88,55.48,5.38
41.34,56.59,5.48
40.45,57.92,5.58
40.67,59.69,5.68
41.34,61.23,5.78
42.00,62.78,5.88
43.33,63.44,5.98
44.87,64.33,6.08
46.20,63.89,6.18
47.75,63.22,6.28
48.85,62.12,6.38
49.74,60.79,6.48
50.18,58.80,6.58
50.62,56.59,6.68
50.84,54.38,6.78
50.62,52.17,6.88
50.84,49.74,6.98
51.73,47.31,7.08
52.83,45.32,7.18
54.38,43.55,7.28
55.71,42.66,7.38
57.25,42.44,7.48
59.46,42.66,7.58
61.01,42.44,7.68
62.78,42.00,7.78
64.55,41.34,7.88
66.10,40.01,7.98
67.64,38.46,8.08
68.97,36.70,8.18
70.30,34.93,8.28
71.62,32.72,8.38
72.73,31.39,8.48
73.61,29.62,8.58
74.72,28.07,8.68
75.60,27.41,8.78
76.49,27.63,8.88
77.59,27.85,8.98
78.03,28.74,9.08
78.03,30.06,9.18
77.81,31.83,9.28
77.15,33.60,9.38
76.04,35.15,9.48
74.72,36.92,9.58
72.95,38.24,9.68
70.74,39.13,9.78
68.53,40.45,9.88
66.10,41.78,9.98
63.66,43.11,10.08
61.01,44.21,10.18
59.02,45.32,10.28
55.48,46.42,10.38
53.05,47.31,10.48
50.18,48.19,10.58
47.53,49.07,10.68
45.10,50.18,10.78
42.66,51.95,10.88
40.23,53.27,10.98
38.24,54.38,11.08
35.59,55.48,11.18
32.94,55.48,11.28
30.51,55.71,11.38
28.07,55.26,11.48
26.08,54.38,11.58
24.10,53.27,11.68
22.55,52.83,11.78
20.56,52.83,11.88
19.01,53.50,11.98
17.46,54.38,12.08
15.92,55.71,12.18
14.37,56.81,12.28
12.82,58.36,12.38
11.72,59.91,12.48
10.17,61.45,12.58
8.84,63.00,12.68
8.40,64.77,12.78
7.74,66.98,12.88
7.52,68.97,12.98
7.52,70.30,13.08
7.52,71.18,13.18
7.96,71.62,13.28
8.18,71.40,13.38
8.40,71.18,13.48
8.84,71.18,13.58
9.28,71.62,13.68
10.17,72.29,13.78
11.27,73.39,13.88
13.04,74.50,13.98
14.81,75.60,14.08
16.80,76.49,14.18
19.23,77.15,14.28
21.44,77.15,14.38
24.10,77.37,14.48
26.53,76.71,14.58
28.52,75.82,14.68
30.73,74.27,14.78
32.72,72.73,14.88
35.15,70.96,14.98
37.14,69.41,15.08
39.79,68.09,15.18
42.66,66.98,15.28
45.32,65.87,15.38
48.19,64.99,15.48
51.06,63.89,15.58
54.16,63.00,15.68
57.25,62.56,15.78
60.35,61.67,15.88
63.22,61.23,15.98
66.32,60.79,16.08
69.19,60.13,16.18
71.40,59.02,16.28
73.61,57.70,16.38
75.38,55.93,16.48
77.15,54.16,16.58
78.92,52.61,16.68
80.69,50.84,16.78
82.23,48.85,16.88
83.78,46.86,16.98
84.89,44.65,17.08
85.99,42.22,17.18
86.43,40.23,17.28
85.99,38.24,17.38
85.33,36.25,17.48
84.00,34.26,17.58
82.90,32.27,17.68
81.35,30.28,17.78
79.80,28.30,17.88
78.03,26.53,17.98
76.26,25.20,18.08
74.27,24.32,18.18
72.06,24.32,18.28
69.63,24.54,18.38
67.20,24.98,18.48
64.77,25.20,18.58
62.12,25.42,18.68
59.24,25.64,18.78
56.59,26.31,18.88
53.94,27.19,18.98
51.28,28.07,19.08
49.07,29.40,19.18
46.42,30.73,19.28
43.77,32.05,19.38
41.12,33.38,19.48
38.24,34.93,19.58
35.59,36.25,19.68
33.16,38.02,19.78
30.73,39.57,19.88
28.30,41.12,19.98
25.86,42.88,20.08
23.65,44.65,20.18
21.66,46.64,20.28
19.67,48.63,20.38
18.35,50.84,20.48
