31-1.11,5/27/2007.3,7:34 AM
x,y,t
53.39,9.79,0.00
53.61,10.23,0.08
53.39,10.68,0.17
53.17,11.12,0.27
53.61,11.12,0.37
53.84,11.57,0.47
54.06,11.57,0.57
53.61,12.01,0.67
53.17,12.68,0.77
53.39,13.35,0.87
52.95,14.02,0.97
53.17,15.13,1.07
53.17,15.79,1.17
53.39,16.91,1.27
52.95,17.80,1.37
52.50,18.46,1.47
51.61,19.58,1.57
50.28,20.24,1.67
49.39,20.24,1.77
48.27,20.69,1.87
47.61,20.91,1.97
46.72,21.58,2.07
46.94,21.80,2.17
46.94,22.91,2.27
46.94,24.25,2.37
46.49,25.81,2.47
45.83,27.59,2.57
45.16,29.59,2.67
44.49,31.59,2.77
43.38,33.37,2.87
42.49,34.70,2.97
41.38,35.82,3.07
41.16,36.71,3.17
40.71,38.26,3.27
40.49,39.60,3.37
40.27,41.60,3.47
40.27,43.38,3.57
40.27,45.38,3.67
39.38,46.49,3.77
38.71,47.38,3.87
37.82,47.83,3.97
37.15,47.61,4.07
36.48,47.38,4.17
36.26,46.94,4.27
36.26,46.05,4.37
36.48,44.72,4.47
36.71,43.60,4.57
36.93,42.49,4.67
37.15,41.38,4.77
37.60,40.93,4.87
38.26,40.27,4.97
38.71,39.82,5.07
39.60,39.60,5.17
40.49,39.60,5.27
40.93,38.93,5.37
41.38,38.49,5.47
41.60,38.26,5.57
42.05,37.37,5.67
42.05,36.71,5.77
42.05,35.37,5.87
42.05,34.04,5.97
42.05,33.15,6.07
42.49,32.48,6.17
43.16,32.03,6.27
43.83,31.37,6.37
44.05,30.48,6.47
44.27,30.26,6.57
44.27,30.26,6.67
44.05,30.03,6.77
43.83,29.81,6.87
44.05,29.59,6.97
43.83,29.37,7.07
43.60,29.14,7.17
43.16,29.59,7.27
42.49,30.26,7.37
41.60,31.14,7.47
40.71,32.48,7.57
39.38,33.59,7.67
38.26,35.37,7.77
36.48,36.93,7.87
34.93,37.82,7.97
33.37,38.26,8.07
32.26,37.82,8.17
31.59,37.37,8.27
30.92,36.71,8.37
30.92,35.59,8.47
30.92,34.70,8.57
31.37,34.26,8.67
32.03,33.81,8.77
32.92,33.37,8.87
33.59,33.15,8.97
34.48,32.48,9.07
35.37,32.03,9.17
36.26,31.59,9.27
36.93,31.14,9.37
37.60,30.48,9.47
38.04,30.03,9.57
38.26,29.14,9.67
38.49,28.48,9.77
38.71,27.59,9.87
38.93,26.92,9.97
39.38,26.47,10.07
39.82,25.81,10.17
40.27,25.14,10.27
40.49,24.25,10.37
40.93,24.03,10.47
41.38,23.36,10.57
41.60,23.14,10.67
42.05,22.91,10.77
42.27,22.91,10.87
42.71,22.91,10.97
43.16,23.36,11.07
43.38,23.80,11.17
43.83,24.92,11.27
43.60,26.25,11.37
42.94,27.59,11.47
42.49,29.14,11.57
41.82,30.48,11.67
