31-1.8,5/27/2007,7:12 AM
x,y,t
92.99,43.60,0.00
93.43,43.83,0.10
94.32,44.49,0.20
94.99,45.16,0.30
94.99,46.49,0.40
94.77,48.50,0.50
94.10,50.50,0.60
93.21,51.83,0.70
92.32,53.84,0.80
91.43,55.39,0.90
89.65,57.17,1.00
87.43,58.06,1.10
84.98,58.51,1.20
82.53,58.73,1.30
79.86,58.95,1.40
77.19,59.40,1.50
74.75,60.29,1.60
72.52,61.18,1.70
70.52,62.73,1.80
68.96,64.96,1.90
67.41,66.96,2.00
65.85,68.96,2.10
64.07,70.74,2.20
61.62,72.75,2.30
59.40,74.30,2.40
57.40,76.53,2.50
55.62,78.31,2.60
54.06,80.53,2.70
51.83,82.53,2.80
49.39,84.31,2.90
46.27,85.87,3.01
44.27,86.54,3.10
41.82,86.32,3.20
39.15,85.65,3.30
36.71,84.31,3.40
34.93,82.53,3.50
32.70,81.20,3.60
30.26,79.64,3.70
28.03,78.08,3.80
25.36,76.97,3.90
21.80,76.30,4.00
18.02,75.19,4.10
15.57,73.41,4.20
13.79,71.41,4.30
12.01,69.19,4.40
10.46,66.96,4.50
8.90,64.96,4.60
7.56,62.29,4.70
7.12,59.62,4.80
7.34,56.95,4.90
7.79,53.84,5.01
8.23,51.17,5.10
8.68,48.50,5.20
9.34,46.05,5.30
10.68,43.83,5.40
11.57,42.05,5.50
13.35,40.71,5.60
15.13,39.82,5.70
17.13,39.60,5.80
19.35,40.04,5.90
21.58,40.93,6.00
23.80,41.82,6.10
25.58,42.94,6.20
27.81,44.05,6.30
29.59,45.83,6.40
30.92,47.61,6.50
32.26,49.61,6.60
33.37,51.83,6.70
34.70,54.28,6.80
36.04,56.51,6.91
37.82,58.29,7.00
39.38,59.62,7.10
40.93,59.84,7.20
42.94,59.40,7.30
44.94,58.51,7.40
46.72,57.17,7.50
48.72,55.62,7.60
50.72,53.84,7.70
52.28,52.06,7.80
54.50,50.05,7.90
56.06,47.83,8.00
57.84,45.38,8.10
59.18,42.71,8.20
61.18,40.49,8.30
62.51,38.26,8.40
64.29,36.93,8.50
66.29,36.26,8.60
68.52,36.04,8.70
70.97,36.48,8.80
72.97,37.15,8.90
75.19,38.26,9.00
76.75,39.60,9.10
78.53,41.82,9.20
79.86,44.05,9.30
80.98,46.27,9.40
81.64,48.72,9.50
82.09,51.39,9.60
82.76,54.06,9.70
82.98,56.95,9.80
82.76,59.62,9.90
82.09,62.07,10.00
81.20,64.74,10.10
79.86,66.74,10.20
78.08,68.30,10.30
75.86,69.85,10.40
73.41,71.19,10.50
71.19,72.30,10.60
68.96,74.08,10.70
67.18,75.64,10.80
64.96,77.42,10.90
62.51,79.20,11.00
60.51,80.75,11.10
58.06,82.76,11.20
55.84,84.76,11.30
53.17,86.54,11.40
50.28,88.10,11.50
47.83,89.65,11.60
44.94,90.99,11.70
41.82,92.10,11.80
38.93,92.54,11.90
36.04,92.54,12.00
32.92,92.10,12.10
30.26,91.43,12.20
27.36,90.77,12.30
24.69,89.88,12.40
22.25,88.10,12.50
19.80,86.54,12.60
17.35,84.31,12.70
15.35,82.53,12.80
13.35,80.53,12.90
11.79,78.08,13.00
10.23,75.42,13.10
9.12,72.97,13.20
8.01,70.08,13.30
7.34,66.74,13.40
7.34,64.07,13.50
7.56,61.40,13.60
8.45,58.73,13.70
9.34,56.28,13.80
10.68,53.61,13.90
12.24,51.61,14.00
13.57,49.61,14.10
15.13,47.83,14.20
17.13,46.27,14.30
19.13,44.72,14.40
20.47,42.94,14.50
22.25,41.16,14.60
23.80,38.93,14.70
25.81,36.71,14.80
27.14,34.48,14.90
29.14,32.48,15.00
30.92,30.70,15.10
33.37,28.92,15.20
