31-1.37,6/4/2007.1,1:25 PM
x,y,t
17.91,41.12,26.68
16.58,37.80,26.80
15.92,35.37,26.88
15.03,32.72,26.99
14.37,30.28,27.08
13.93,26.75,27.23
14.81,24.32,27.36
16.14,22.77,27.46
17.02,22.11,27.53
18.35,21.44,27.59
19.45,20.56,27.68
23.21,17.02,27.97
24.76,15.47,28.10
26.08,14.15,28.21
30.51,10.83,28.52
31.39,10.17,28.58
33.38,9.28,28.68
34.93,8.40,28.78
37.14,8.62,28.89
40.67,9.51,29.05
45.10,11.49,29.23
46.86,12.82,29.35
49.30,15.03,29.48
51.28,16.80,29.59
53.27,20.78,29.78
54.16,23.21,29.90
53.72,27.19,30.09
52.83,29.62,30.19
51.95,31.17,30.28
48.63,34.04,30.38
46.42,35.37,30.56
45.10,36.25,30.62
44.21,36.70,30.69
42.00,38.46,30.78
40.45,39.79,30.88
38.68,42.00,30.98
37.14,44.21,31.08
35.37,46.64,31.18
33.38,49.30,31.28
31.61,51.73,31.38
29.62,54.38,31.48
28.07,57.47,31.58
26.53,60.57,31.69
24.76,63.22,31.78
23.21,65.65,31.88
21.22,68.09,31.98
18.79,70.07,32.08
16.14,71.40,32.18
13.93,72.29,32.28
11.27,72.73,32.38
9.28,72.29,32.48
7.29,71.62,32.58
6.85,71.62,32.68
6.85,71.84,32.78
6.85,71.84,32.88
7.29,71.40,32.98
8.40,70.30,33.08
9.28,69.41,33.18
10.39,68.09,33.28
11.49,66.98,33.38
12.82,66.10,33.48
14.37,65.43,33.58
16.14,64.77,33.68
18.57,63.66,33.82
24.32,59.02,33.89
30.06,54.38,34.36
31.61,52.61,34.46
33.16,50.84,34.53
34.93,48.63,34.63
38.91,43.55,34.84
43.11,38.46,35.06
48.19,35.15,35.27
51.95,33.38,35.42
56.81,30.73,35.58
62.56,26.97,35.81
68.53,23.87,36.03
71.84,22.33,36.11
73.61,21.66,36.21
75.38,20.56,36.28
77.81,19.23,36.38
80.24,18.13,36.48
82.45,17.46,36.58
84.89,17.46,36.68
86.43,17.91,36.78
