31-1.2,5/25/2007.2,10:31 AM
x,y,t
6.90,46.94,0.01
6.67,46.72,0.08
6.67,46.49,0.18
6.45,46.27,0.28
7.12,45.83,0.38
7.34,46.05,0.48
8.45,46.27,0.58
9.79,47.38,0.68
10.46,48.05,0.78
10.01,49.16,0.88
9.57,50.05,0.98
8.45,50.50,1.08
7.34,50.28,1.18
6.23,49.61,1.28
6.23,49.16,1.38
6.90,49.39,1.48
7.34,48.72,1.58
8.01,48.27,1.68
8.23,47.16,1.78
9.12,46.05,1.88
10.46,44.49,1.98
11.79,43.16,2.08
12.90,41.82,2.18
14.02,40.04,2.28
14.91,38.26,2.38
16.02,36.26,2.48
17.13,34.48,2.58
18.24,32.70,2.68
19.35,30.70,2.78
20.69,28.70,2.88
21.58,27.14,2.98
22.25,25.58,3.08
22.25,24.03,3.18
22.02,22.47,3.28
21.80,21.36,3.38
22.02,20.69,3.48
22.02,19.80,3.58
22.25,18.91,3.68
22.91,18.02,3.78
24.03,17.35,3.88
25.14,17.13,3.98
26.92,17.80,4.08
28.25,18.69,4.18
29.14,19.58,4.28
30.03,20.47,4.38
30.26,21.58,4.48
30.03,22.91,4.58
29.59,24.25,4.68
28.92,25.58,4.78
28.03,26.70,4.88
26.92,27.81,4.98
25.36,29.14,5.08
24.03,30.03,5.18
22.91,30.70,5.28
22.02,31.37,5.38
21.36,32.03,5.48
20.69,32.92,5.58
20.24,33.81,5.68
19.58,34.70,5.78
18.91,34.93,5.88
18.46,35.82,5.98
17.57,36.26,6.08
16.46,36.48,6.18
16.02,36.48,6.28
15.35,36.26,6.38
14.91,35.82,6.48
14.46,35.15,6.58
14.46,34.26,6.68
14.46,33.15,6.78
14.46,31.81,6.88
14.24,30.70,6.98
14.68,29.37,7.08
15.35,28.03,7.18
15.79,26.92,7.28
16.68,26.03,7.38
17.57,25.58,7.48
18.69,25.14,7.58
20.02,25.14,7.68
21.58,25.14,7.78
22.91,25.14,7.88
24.47,25.36,7.98
25.58,25.81,8.08
26.92,26.25,8.18
28.25,27.14,8.28
29.37,28.03,8.38
30.26,29.14,8.48
30.70,30.48,8.58
31.14,31.59,8.68
30.92,33.15,8.78
30.26,34.26,8.88
29.59,35.15,8.98
28.25,36.04,9.08
26.92,36.71,9.18
25.36,37.15,9.28
23.58,37.82,9.38
22.25,38.49,9.48
20.47,39.38,9.58
19.13,40.27,9.68
17.57,41.38,9.78
16.02,42.27,9.88
15.13,42.49,9.98
14.46,42.71,10.08
13.57,42.27,10.18
12.90,42.05,10.28
12.68,41.16,10.38
12.46,40.27,10.48
12.90,39.82,10.58
13.35,39.82,10.68
14.02,39.38,10.78
14.68,39.60,10.88
15.35,39.82,10.98
16.24,40.27,11.08
17.35,41.16,11.18
18.46,42.05,11.28
19.80,42.94,11.38
21.58,43.83,11.48
23.14,45.38,11.58
24.69,46.72,11.68
25.81,48.50,11.78
26.70,50.28,11.88
27.14,51.83,11.98
26.70,52.95,12.08
26.25,54.06,12.18
25.58,54.28,12.28
25.14,54.73,12.38
24.69,54.73,12.48
24.47,54.28,12.58
24.47,53.84,12.68
24.03,53.39,12.78
24.47,52.28,12.88
24.92,51.83,12.98
25.81,50.94,13.08
26.70,50.28,13.18
28.03,49.83,13.28
29.37,49.16,13.38
31.37,48.72,13.48
33.37,48.27,13.58
35.59,48.05,13.68
38.04,47.38,13.78
40.49,46.94,13.88
42.71,46.05,13.98
44.94,44.94,14.08
47.16,43.83,14.18
49.39,42.49,14.28
51.17,41.38,14.38
52.72,39.60,14.48
54.28,38.04,14.58
55.39,36.26,14.68
56.95,34.04,14.78
58.51,32.03,14.88
59.84,30.70,14.98
61.40,29.37,15.08
63.40,28.25,15.18
65.63,27.59,15.28
