31-1.10,5/27/2007.2,7:27 AM
x,y,t
52.28,93.21,0.00
53.39,93.21,0.08
54.28,93.43,0.15
54.73,94.32,0.25
55.62,94.77,0.35
56.28,94.77,0.45
57.17,95.21,0.55
58.51,94.77,0.65
59.62,94.32,0.75
60.73,93.21,0.85
61.62,91.65,0.95
62.07,90.10,1.05
61.84,88.32,1.15
61.18,86.76,1.25
60.07,85.65,1.35
58.95,84.31,1.45
57.84,83.20,1.55
56.51,81.87,1.65
55.84,80.53,1.75
55.39,78.75,1.85
55.39,76.75,1.95
55.39,74.30,2.05
55.17,71.63,2.15
54.95,69.19,2.25
54.06,67.18,2.35
52.72,65.63,2.45
51.39,64.74,2.55
49.16,64.51,2.65
47.16,64.74,2.75
45.16,65.63,2.85
43.38,66.52,2.95
41.16,66.52,3.05
38.49,66.96,3.15
36.71,66.52,3.25
35.37,65.85,3.35
34.04,64.51,3.45
33.37,62.96,3.55
33.59,60.96,3.65
33.59,59.18,3.75
33.59,57.84,3.85
33.15,56.06,3.95
32.70,54.73,4.05
31.37,52.95,4.15
30.70,51.61,4.25
30.48,50.50,4.35
30.92,49.16,4.45
31.59,48.27,4.55
32.70,47.38,4.65
34.04,46.49,4.75
34.93,46.49,4.85
36.04,46.94,4.95
36.71,47.61,5.05
37.15,48.94,5.15
36.71,50.28,5.25
36.26,51.83,5.35
34.70,53.17,5.45
34.04,53.84,5.55
33.37,53.84,5.65
32.70,53.39,5.75
32.26,52.95,5.85
32.48,51.83,5.95
33.15,50.94,6.05
34.04,50.05,6.15
35.59,48.94,6.25
37.15,47.83,6.35
38.49,46.72,6.45
39.60,45.61,6.55
40.49,44.27,6.65
41.82,44.05,6.75
42.71,43.83,6.85
43.60,43.83,6.95
44.27,44.27,7.05
44.27,44.94,7.15
44.72,45.61,7.25
44.72,46.94,7.35
44.27,48.05,7.45
43.83,49.61,7.55
43.38,51.83,7.65
42.49,53.61,7.75
41.82,55.17,7.85
40.93,56.28,7.95
39.60,57.40,8.05
38.26,58.06,8.15
36.93,58.51,8.25
35.15,58.95,8.35
33.81,58.95,8.45
32.03,58.73,8.55
30.70,59.18,8.65
29.37,59.40,8.75
27.81,59.40,8.85
26.70,58.73,8.95
25.81,58.29,9.05
25.14,57.40,9.15
25.36,56.51,9.25
25.58,55.17,9.35
26.25,53.84,9.45
27.14,52.50,9.55
28.25,50.94,9.65
29.81,49.61,9.75
31.37,48.72,9.85
32.92,48.05,9.95
34.04,48.05,10.05
35.15,49.16,10.15
36.48,49.83,10.25
36.93,51.39,10.35
38.04,52.95,10.45
38.49,54.73,10.55
38.49,56.73,10.65
38.49,58.73,10.75
37.82,60.73,10.85
37.37,62.73,10.95
36.71,64.29,11.05
36.26,65.63,11.15
36.26,67.41,11.25
36.26,69.19,11.35
36.71,70.74,11.45
37.37,72.30,11.55
38.49,72.97,11.65
39.60,73.86,11.75
41.60,74.75,11.85
43.60,74.30,11.95
45.16,74.08,12.05
46.94,73.41,12.15
48.50,73.41,12.25
49.83,73.41,12.35
51.17,72.52,12.45
51.83,71.86,12.55
52.28,70.74,12.65
52.28,69.85,12.75
51.61,68.07,12.85
51.17,66.52,12.95
50.50,64.29,13.05
49.83,62.29,13.15
49.39,59.62,13.25
49.16,56.95,13.35
48.50,54.50,13.45
48.05,51.61,13.55
47.83,48.94,13.65
47.83,46.27,13.75
48.27,43.38,13.85
49.39,40.71,13.95
50.28,38.04,14.05
51.39,35.82,14.15
51.83,33.81,14.25
52.06,31.81,14.35
51.61,30.26,14.45
51.17,29.14,14.55
50.28,27.81,14.65
49.16,26.92,14.75
47.83,26.25,14.85
46.27,25.81,14.95
45.16,25.36,15.05
44.05,25.58,15.15
42.94,26.03,15.25
41.60,26.92,15.35
40.04,27.81,15.45
38.49,28.70,15.55
36.71,29.59,15.65
34.93,29.59,15.75
33.37,28.92,15.85
32.03,28.03,15.95
31.37,26.70,16.05
30.92,25.81,16.15
31.14,24.47,16.25
31.59,23.14,16.35
32.26,21.80,16.45
33.15,20.24,16.55
34.26,19.13,16.65
34.48,18.46,16.75
34.93,18.24,16.85
35.37,18.24,16.95
35.82,18.69,17.05
36.26,19.35,17.15
36.26,20.24,17.25
36.26,22.02,17.35
36.26,23.58,17.45
35.82,25.81,17.55
35.59,28.03,17.65
35.59,30.48,17.75
36.04,32.92,17.85
36.71,35.15,17.95
38.04,36.71,18.05
39.60,38.93,18.15
41.60,40.49,18.25
43.38,42.27,18.35
44.94,44.49,18.45
45.61,46.49,18.55
46.05,48.72,18.65
46.49,51.39,18.75
46.72,53.39,18.85
47.16,55.62,18.95
47.38,57.84,19.05
47.16,60.29,19.15
46.27,62.73,19.25
45.38,64.74,19.35
43.83,65.85,19.45
42.05,66.52,19.55
40.27,66.74,19.65
38.49,66.29,19.75
36.48,66.07,19.85
34.26,65.63,19.95
32.26,65.40,20.05
30.26,64.74,20.15
28.70,63.62,20.25
27.36,61.62,20.35
26.47,59.40,20.45
26.03,56.95,20.55
26.03,54.50,20.65
26.03,51.61,20.75
26.03,48.94,20.85
26.47,46.27,20.95
26.70,43.60,21.05
26.92,40.93,21.15
27.14,38.04,21.25
27.59,36.04,21.35
28.70,34.04,21.45
30.26,32.26,21.55
32.03,30.92,21.65
34.04,29.59,21.75
36.04,28.70,21.85
37.60,28.25,21.95
