31-1.31,6/2/2007,7:34 AM.1
x,y,t
17.68,45.32,26.38
20.34,46.86,26.48
22.11,48.41,26.58
24.32,50.18,26.68
26.08,52.17,26.78
27.85,54.38,26.88
29.62,56.59,26.98
31.39,59.02,27.08
32.05,61.90,27.18
32.05,64.77,27.28
32.27,67.64,27.38
32.05,70.74,27.48
32.05,73.83,27.58
32.50,76.93,27.68
32.50,80.46,27.78
32.72,83.34,27.88
33.16,86.43,27.98
34.04,89.31,28.08
34.48,92.18,28.18
35.15,94.83,28.28
35.37,96.82,28.38
35.59,97.49,28.48
35.59,97.49,28.58
35.59,97.04,28.68
35.81,97.04,28.78
35.81,96.82,28.88
36.03,96.38,28.98
35.59,95.72,29.08
35.37,94.83,29.18
35.59,92.84,29.28
35.59,90.85,29.38
34.93,88.64,29.48
34.04,86.65,29.58
32.94,84.66,29.68
31.61,82.23,29.78
30.28,80.02,29.88
28.96,77.37,29.98
28.07,74.72,30.08
27.63,72.29,30.18
27.63,69.41,30.28
27.19,66.76,30.38
26.53,64.11,30.48
25.64,61.67,30.58
24.98,59.02,30.68
23.65,56.37,30.78
22.55,53.94,30.88
21.00,51.28,30.98
19.90,48.63,31.08
18.79,45.98,31.18
17.24,43.55,31.28
15.92,41.12,31.38
14.37,38.91,31.48
12.82,36.70,31.58
11.27,34.93,31.68
10.17,33.38,31.78
9.95,32.72,31.88
9.95,32.94,31.98
10.61,33.16,32.08
11.05,33.16,32.18
10.83,33.38,32.28
10.61,33.16,32.38
10.39,33.60,32.48
9.95,34.04,32.58
9.28,34.48,32.68
8.84,34.93,32.78
8.62,35.81,32.88
9.06,37.14,32.98
9.73,38.68,33.08
10.39,40.23,33.18
11.27,42.22,33.28
12.60,44.21,33.38
13.93,46.42,33.48
15.03,48.85,33.58
16.58,50.84,33.68
18.13,53.27,33.78
19.90,55.48,33.88
22.11,57.25,33.98
24.32,59.24,34.08
26.75,61.01,34.18
29.18,62.78,34.28
31.83,64.77,34.38
34.26,66.54,34.48
36.70,68.31,34.58
39.57,69.63,34.68
42.44,70.74,34.78
45.32,71.40,34.88
47.97,71.62,34.98
50.18,70.96,35.08
51.73,69.41,35.18
53.05,68.09,35.28
53.94,65.87,35.38
54.60,63.66,35.48
55.26,61.23,35.58
56.15,58.80,35.68
57.47,56.15,35.78
59.02,53.94,35.88
60.79,51.73,35.98
62.56,49.96,36.08
64.99,48.63,36.18
66.98,47.75,36.28
68.97,47.75,36.38
70.52,48.19,36.48
71.84,49.07,36.58
72.73,49.96,36.68
72.95,51.28,36.78
72.73,53.05,36.88
72.06,54.82,36.98
71.18,56.59,37.08
69.63,58.36,37.18
68.09,59.91,37.28
66.10,61.23,37.38
63.89,62.12,37.48
61.45,63.00,37.58
59.02,64.11,37.68
56.59,65.21,37.78
53.72,66.10,37.88
51.51,67.64,37.98
49.30,69.41,38.08
47.08,71.18,38.18
45.54,73.61,38.28
43.55,75.82,38.38
41.78,78.25,38.48
39.57,80.24,38.58
37.36,81.57,38.68
34.71,82.45,38.78
32.27,83.12,38.88
29.62,83.56,38.98
26.75,84.00,39.08
24.32,84.22,39.18
21.66,84.22,39.28
18.79,84.00,39.38
16.36,83.34,39.48
14.59,82.67,39.58
13.48,81.79,39.68
12.82,80.69,39.78
12.16,79.36,39.88
11.94,78.25,39.98
12.38,76.93,40.08
12.82,75.60,40.18
13.71,74.27,40.28
15.03,72.95,40.38
16.58,71.40,40.48
18.57,70.30,40.58
20.56,68.75,40.68
22.55,67.20,40.78
24.54,65.43,40.88
26.75,63.44,40.98
28.30,61.23,41.08
30.06,59.24,41.18
31.17,56.59,41.28
31.83,53.94,41.38
32.50,51.28,41.48
32.50,48.41,41.58
32.50,45.54,41.68
32.27,42.88,41.78
31.83,40.45,41.88
30.73,38.46,41.98
29.84,36.03,42.08
28.07,34.26,42.18
26.31,32.94,42.28
24.10,31.61,42.38
21.66,30.51,42.48
19.90,29.84,42.58
17.91,29.84,42.68
15.92,30.06,42.78
14.15,30.73,42.88
12.82,31.83,42.98
11.49,33.38,43.08
10.17,35.15,43.18
8.84,37.36,43.28
7.74,39.35,43.38
6.63,41.12,43.48
6.41,42.44,43.58
6.63,43.11,43.68
