31-1.39,6/4/2007.3,1:35 PM
x,y,t
91.74,56.15,0.01
91.30,55.93,0.08
91.07,55.48,0.14
90.41,55.04,0.22
89.97,54.38,0.32
89.31,53.50,0.43
88.86,52.39,0.53
88.64,51.28,0.62
88.64,50.62,0.73
89.31,49.52,0.82
89.97,48.85,0.93
90.41,47.97,1.02
90.85,47.53,1.12
91.30,47.08,1.23
91.96,46.86,1.33
91.96,46.64,1.42
91.96,46.20,1.53
91.52,45.54,1.62
90.85,45.32,1.73
89.53,45.54,1.83
87.98,45.76,1.92
85.99,45.98,2.03
83.78,46.42,2.12
81.13,46.64,2.22
78.47,47.08,2.33
75.82,46.86,2.42
73.83,47.53,2.53
71.84,47.97,2.62
70.52,48.19,2.72
68.75,47.75,2.83
66.76,47.31,2.92
64.77,46.86,3.03
63.00,46.42,3.12
61.01,46.86,3.22
59.24,47.75,3.33
57.70,49.07,3.42
57.03,50.62,3.53
56.59,52.17,3.62
55.71,53.05,3.72
55.26,53.94,3.83
54.82,53.72,3.92
54.38,53.50,4.03
53.50,53.27,4.12
53.50,52.83,4.22
53.94,52.17,4.32
54.38,51.28,4.43
55.26,49.74,4.53
56.15,47.97,4.62
56.81,45.98,4.72
57.25,43.77,4.82
57.70,41.56,4.93
58.36,39.57,5.03
59.24,38.02,5.12
59.91,36.70,5.22
60.57,36.25,5.32
61.01,36.47,5.43
61.67,37.14,5.53
62.12,37.58,5.62
61.67,38.68,5.72
61.01,40.01,5.82
59.69,41.12,5.93
58.14,42.22,6.03
55.93,43.11,6.12
53.94,43.99,6.22
51.73,44.65,6.32
50.18,45.54,6.43
48.19,46.64,6.53
46.20,47.75,6.62
44.21,48.63,6.72
42.00,48.85,6.82
39.57,49.30,6.93
37.14,48.85,7.03
34.71,48.85,7.12
32.27,48.85,7.22
29.84,48.41,7.32
27.85,47.75,7.43
26.31,46.86,7.53
25.42,45.76,7.62
24.76,45.10,7.72
24.98,44.65,7.82
25.20,43.77,7.93
25.86,43.55,8.02
27.19,43.33,8.12
28.74,42.88,8.23
30.28,42.00,8.32
32.05,41.34,8.43
33.82,40.01,8.52
35.37,38.46,8.62
37.14,36.92,8.73
38.91,35.59,8.82
40.23,34.26,8.93
42.22,33.60,9.02
44.21,32.94,9.12
45.76,33.38,9.23
47.08,33.82,9.32
48.19,34.71,9.43
49.07,36.25,9.52
49.74,37.80,9.62
49.74,39.57,9.73
49.52,41.34,9.82
48.85,42.88,9.93
47.97,44.65,10.02
46.86,46.42,10.12
45.98,48.63,10.23
45.32,50.40,10.32
43.99,53.05,10.43
43.11,55.04,10.52
41.78,57.25,10.62
40.01,59.24,10.73
37.80,61.01,10.82
35.59,61.67,10.93
34.04,62.12,11.02
31.83,61.67,11.12
30.28,61.01,11.23
29.06,60.35,11.32
27.85,59.69,11.43
26.97,59.91,11.52
26.31,59.91,11.62
25.42,60.13,11.73
24.76,60.79,11.82
24.98,61.23,11.93
25.20,61.90,12.02
25.64,63.22,12.12
26.08,64.33,12.23
26.75,65.21,12.32
26.97,66.32,12.43
27.63,67.86,12.52
28.07,69.41,12.62
28.96,70.96,12.73
29.84,72.29,12.82
30.95,73.17,12.93
32.50,73.39,13.02
34.04,73.39,13.12
36.03,73.39,13.23
38.24,72.95,13.32
40.23,72.51,13.43
42.44,71.84,13.52
44.43,70.52,13.62
46.42,69.41,13.73
48.19,67.64,13.82
49.74,65.65,13.93
51.06,63.44,14.02
52.39,61.23,14.12
53.05,58.80,14.23
53.94,56.15,14.32
54.60,53.94,14.43
55.71,51.28,14.52
56.81,48.85,14.62
58.36,46.86,14.73
59.91,45.10,14.82
61.67,43.33,14.93
63.66,41.56,15.02
65.87,40.23,15.12
68.09,39.35,15.23
70.30,38.02,15.32
71.84,37.58,15.43
,,
,,
,,
,,
