31-1.3,5/25/2007.3,10:41 AM
x,y,t
96.55,55.39,0.00
96.33,55.39,0.08
96.33,55.39,0.14
96.10,55.62,0.24
95.88,55.62,0.34
95.44,55.39,0.44
95.44,55.17,0.54
94.55,54.73,0.64
94.55,54.06,0.74
94.99,53.39,0.84
95.88,52.95,0.94
96.99,53.17,1.04
98.55,53.84,1.14
99.44,54.28,1.24
100.11,55.17,1.34
100.78,56.28,1.44
101.44,57.40,1.54
102.11,58.73,1.64
101.89,60.29,1.74
101.67,62.07,1.84
100.33,63.85,1.94
99.00,65.85,2.04
97.66,67.85,2.14
95.66,69.41,2.24
94.10,70.97,2.34
91.88,72.08,2.44
89.65,72.97,2.54
87.87,73.86,2.64
86.09,73.41,2.74
84.76,72.97,2.84
83.65,71.86,2.94
82.76,70.74,3.04
81.64,69.19,3.14
80.98,67.85,3.24
79.64,66.52,3.34
78.31,65.63,3.44
77.42,64.96,3.54
76.30,64.96,3.64
75.19,65.40,3.74
73.64,66.07,3.84
72.75,67.18,3.94
71.86,68.52,4.04
71.41,69.63,4.14
71.41,70.97,4.24
71.86,72.52,4.34
72.52,73.86,4.44
73.19,75.42,4.54
74.53,76.97,4.64
75.86,78.53,4.74
76.97,79.86,4.84
78.31,80.98,4.94
79.42,81.64,5.04
80.53,81.87,5.14
81.20,82.09,5.24
81.64,81.87,5.34
82.53,81.64,5.44
83.20,81.42,5.54
84.31,80.31,5.64
85.20,79.42,5.74
86.32,78.75,5.84
87.21,78.08,5.94
88.10,77.86,6.04
88.99,77.86,6.14
89.88,78.53,6.24
90.54,78.97,6.34
90.99,79.86,6.44
91.21,80.75,6.54
91.21,81.64,6.64
90.77,82.53,6.74
90.32,83.65,6.84
89.21,84.31,6.94
88.54,84.54,7.04
87.65,83.87,7.14
86.76,83.20,7.24
86.09,82.31,7.34
85.43,81.42,7.44
84.98,80.31,7.54
85.20,79.20,7.64
85.43,77.86,7.74
86.32,76.75,7.84
86.76,75.86,7.94
88.10,74.97,8.04
88.99,73.86,8.14
90.32,73.19,8.24
91.65,72.30,8.34
92.54,72.08,8.44
92.99,72.08,8.54
93.88,72.08,8.64
94.32,72.30,8.74
94.77,72.97,8.84
94.99,73.41,8.94
94.77,73.64,9.04
94.55,74.08,9.14
93.66,74.75,9.24
92.99,75.42,9.34
91.65,75.86,9.44
90.10,76.08,9.54
88.54,76.30,9.64
86.98,76.30,9.74
85.43,75.86,9.84
83.87,75.64,9.94
82.09,75.19,10.04
80.31,75.19,10.14
78.97,74.75,10.24
78.08,74.30,10.34
77.19,73.41,10.44
76.30,72.52,10.54
75.64,71.63,10.64
75.42,70.74,10.74
75.64,69.19,10.84
76.08,67.85,10.94
76.75,66.74,11.04
77.64,65.40,11.14
78.75,64.07,11.24
79.20,63.18,11.34
79.64,62.29,11.44
79.86,61.18,11.54
79.86,59.84,11.64
79.64,58.29,11.74
79.20,56.73,11.84
78.53,54.95,11.94
77.42,53.39,12.04
76.53,51.83,12.14
75.42,50.72,12.24
74.30,49.83,12.34
73.19,49.39,12.44
72.08,49.16,12.54
70.74,49.16,12.64
69.19,49.16,12.74
68.07,49.83,12.84
66.96,50.72,12.94
66.07,51.61,13.04
65.18,52.95,13.14
63.85,54.28,13.24
62.51,55.39,13.34
61.18,56.73,13.44
59.40,57.84,13.54
57.62,58.95,13.64
55.62,60.07,13.74
54.06,61.40,13.84
52.95,62.51,13.94
52.06,63.62,14.04
51.61,65.18,14.14
51.17,66.74,14.24
51.17,68.52,14.34
50.94,69.85,14.44
51.39,71.19,14.54
52.28,71.86,14.64
52.72,72.52,14.74
52.95,72.75,14.84
53.61,72.97,14.94
54.50,72.75,15.04
55.39,72.08,15.14
56.51,71.63,15.24
57.62,70.74,15.34
58.95,69.63,15.44
60.07,68.30,15.54
61.62,66.74,15.64
62.73,65.18,15.74
63.85,63.40,15.84
64.96,61.84,15.94
66.29,60.29,16.04
67.85,58.73,16.14
68.96,56.95,16.24
70.30,55.17,16.34
71.19,53.39,16.44
72.08,51.83,16.54
72.52,49.83,16.64
72.97,48.05,16.74
73.64,45.83,16.84
74.08,43.60,16.94
74.53,41.60,17.04
75.42,39.60,17.14
76.53,37.37,17.24
77.86,35.59,17.34
79.20,33.81,17.44
80.53,32.03,17.54
82.09,30.70,17.64
83.20,29.14,17.74
84.31,27.81,17.84
85.43,26.25,17.94
86.09,24.69,18.04
86.54,23.14,18.14
87.21,22.25,18.24
87.65,21.13,18.34
88.32,20.47,18.44
88.32,20.02,18.54
87.87,20.02,18.64
87.65,20.24,18.74
87.65,20.24,18.84
87.87,20.69,18.94
88.32,20.91,19.04
89.21,21.36,19.14
90.10,22.25,19.24
91.21,22.91,19.34
92.32,24.03,19.44
93.66,25.14,19.54
94.77,26.70,19.64
95.66,28.03,19.74
96.77,29.81,19.84
97.66,31.59,19.94
98.55,33.37,20.04
99.22,35.37,20.14
100.11,37.15,20.24
101.00,39.15,20.34
101.44,41.16,20.44
102.33,42.94,20.54
102.78,45.16,20.64
103.00,47.38,20.74
103.45,49.39,20.84
103.45,51.39,20.94
103.45,53.39,21.04
103.00,55.17,21.14
102.56,57.17,21.24
102.11,59.18,21.34
101.44,61.18,21.44
100.78,63.18,21.54
100.11,65.18,21.64
99.66,67.18,21.74
98.77,69.41,21.84
98.33,71.41,21.94
97.66,73.41,22.04
97.22,75.64,22.14
96.10,77.64,22.24
94.99,79.64,22.34
93.88,81.42,22.44
92.32,82.76,22.54
90.77,84.09,22.64
89.21,84.98,22.74
87.21,86.32,22.84
85.43,87.21,22.94
83.42,88.10,23.04
81.42,88.76,23.14
79.86,88.99,23.24
78.31,88.76,23.34
76.75,88.54,23.44
75.42,87.87,23.54
74.08,86.98,23.64
73.41,86.09,23.74
72.75,85.20,23.84
72.08,83.65,23.94
71.63,82.31,24.04
70.97,80.53,24.14
70.30,78.75,24.24
69.41,76.97,24.34
68.52,75.19,24.44
67.41,73.41,24.54
66.07,71.63,24.64
64.74,69.85,24.74
62.96,68.07,24.84
61.62,66.29,24.94
59.84,64.29,25.04
58.51,62.51,25.14
56.95,60.51,25.24
55.62,58.51,25.34
54.06,56.28,25.44
52.50,54.50,25.54
50.94,52.28,25.64
49.61,50.28,25.74
48.27,48.27,25.84
46.49,46.27,25.94
44.94,44.27,26.04
43.60,42.27,26.14
42.05,40.49,26.24
40.27,38.71,26.34
38.71,36.71,26.44
37.15,34.70,26.54
35.82,32.92,26.64
34.26,31.37,26.74
32.70,29.81,26.84
31.14,28.03,26.94
29.14,26.70,27.04
27.36,25.36,27.14
25.81,24.03,27.24
24.47,22.91,27.34
23.58,21.58,27.44
22.47,20.24,27.54
21.80,19.13,27.64
21.36,18.69,27.74
21.58,18.91,27.84
21.36,18.91,27.94
21.36,19.35,28.04
21.36,19.58,28.14
21.80,19.13,28.24
22.25,19.13,28.34
22.91,18.46,28.44
23.80,17.80,28.54
24.92,17.13,28.64
26.25,16.46,28.74
27.36,15.57,28.84
28.92,14.68,28.94
30.03,13.57,29.04
31.37,12.24,29.14
32.48,10.90,29.24
33.59,9.57,29.34
34.70,8.45,29.44
35.59,7.79,29.54
36.04,8.01,29.64
36.04,8.45,29.74
36.48,8.68,29.84
