31-1.1,5/25/2007.1,10:21 AM
x,y,t
55.17,9.57,0.00
54.50,10.46,0.08
54.50,11.12,0.15
53.61,11.35,0.25
52.95,11.12,0.35
52.06,10.01,0.45
51.83,8.90,0.55
51.83,7.56,0.65
52.50,6.23,0.75
53.39,5.34,0.85
53.61,6.01,0.95
53.84,6.45,1.05
54.28,7.12,1.15
55.62,7.79,1.25
57.17,8.45,1.35
58.73,8.68,1.45
60.51,8.45,1.55
62.51,8.45,1.65
64.74,8.23,1.75
66.52,8.23,1.85
68.74,8.68,1.95
69.85,9.57,2.05
70.30,10.46,2.15
69.63,11.79,2.25
68.74,12.46,2.35
67.41,13.13,2.45
65.63,13.13,2.55
63.85,12.90,2.65
62.29,12.24,2.75
60.96,11.12,2.85
60.29,9.79,2.95
59.84,8.23,3.05
59.84,7.12,3.15
60.29,6.45,3.25
60.29,6.67,3.35
60.51,7.34,3.45
60.51,7.56,3.55
61.18,8.01,3.65
62.29,8.68,3.75
63.62,9.12,3.85
65.40,10.01,3.95
67.18,10.46,4.05
69.19,10.90,4.15
70.74,10.68,4.25
71.86,10.23,4.35
72.97,9.34,4.45
73.64,8.90,4.55
74.08,8.90,4.65
73.86,9.79,4.75
73.86,10.46,4.85
74.08,11.12,4.95
74.30,12.01,5.05
74.97,12.46,5.15
76.08,13.79,5.25
76.75,14.91,5.35
77.19,16.02,5.45
76.75,16.91,5.55
76.30,17.80,5.65
75.19,18.24,5.75
73.86,18.24,5.85
72.08,17.80,5.95
70.52,17.13,6.05
68.52,16.46,6.15
66.74,15.57,6.25
64.96,14.24,6.35
63.40,12.90,6.45
62.29,11.12,6.55
61.62,9.79,6.65
61.62,8.45,6.75
61.84,7.34,6.85
62.73,6.67,6.95
63.18,6.67,7.05
62.73,7.12,7.15
62.73,7.12,7.25
62.96,7.12,7.35
63.62,7.34,7.45
64.51,7.79,7.55
65.40,8.45,7.65
66.07,9.34,7.75
66.52,10.46,7.85
66.52,11.35,7.95
66.07,12.24,8.05
65.63,12.68,8.15
64.74,13.13,8.25
64.29,12.68,8.35
63.62,12.46,8.45
63.18,11.57,8.55
62.73,10.23,8.65
62.51,9.12,8.75
62.51,8.01,8.85
62.73,6.90,8.95
63.18,6.67,9.05
63.18,6.90,9.15
62.96,7.12,9.25
63.18,7.56,9.35
63.40,7.79,9.45
64.29,8.45,9.55
65.18,8.90,9.65
66.52,9.57,9.75
67.63,10.46,9.85
68.52,11.57,9.95
69.41,12.68,10.05
69.63,13.79,10.15
69.63,14.91,10.25
69.19,15.79,10.35
68.07,16.91,10.45
66.74,18.02,10.55
65.18,18.91,10.65
63.40,19.58,10.75
61.62,19.80,10.85
60.07,19.58,10.95
58.51,18.69,11.05
56.73,17.57,11.15
55.17,16.24,11.25
53.39,15.13,11.35
51.61,13.35,11.45
50.50,11.79,11.55
49.39,9.57,11.65
48.72,8.01,11.75
48.72,6.45,11.85
48.72,5.56,11.95
48.72,5.78,12.05
49.16,6.01,12.15
49.16,6.23,12.25
49.39,6.45,12.35
50.05,6.23,12.45
50.72,5.78,12.55
51.61,5.56,12.65
52.06,5.34,12.75
52.72,5.34,12.85
53.61,4.89,12.95
54.50,5.12,13.05
54.50,5.56,13.15
54.95,6.67,13.25
55.17,7.34,13.35
55.62,8.01,13.45
55.84,8.45,13.55
56.28,8.68,13.65
56.95,8.90,13.75
57.62,9.57,13.85
57.84,10.23,13.95
57.84,10.68,14.05
57.40,11.12,14.15
56.95,11.57,14.25
56.28,12.01,14.35
55.17,11.57,14.45
53.84,11.57,14.55
52.72,11.57,14.65
51.17,11.79,14.75
49.83,12.24,14.85
48.05,12.90,14.95
46.05,13.35,15.05
44.27,13.57,15.15
42.05,13.57,15.25
40.04,13.13,15.35
37.82,12.24,15.45
36.04,11.57,15.55
34.04,11.57,15.65
32.03,11.57,15.75
30.03,12.24,15.85
27.81,13.13,15.95
26.25,14.24,16.05
24.69,15.79,16.15
22.91,17.13,16.25
21.13,18.69,16.35
19.58,20.24,16.45
18.02,21.80,16.55
16.46,23.80,16.65
14.91,25.58,16.75
13.35,27.36,16.85
12.01,29.37,16.95
10.68,31.14,17.05
9.34,33.37,17.15
8.45,35.15,17.25
7.34,37.37,17.35
6.67,39.38,17.45
6.45,41.16,17.55
6.23,43.38,17.65
5.78,45.61,17.75
5.78,47.61,17.85
5.34,49.83,17.95
5.34,52.28,18.05
5.34,54.50,18.15
5.34,56.73,18.25
5.34,58.95,18.35
5.12,61.18,18.45
5.56,63.62,18.55
6.45,65.85,18.65
7.12,68.07,18.75
8.01,70.30,18.85
8.68,72.30,18.95
9.34,74.97,19.05
10.46,76.75,19.15
10.90,77.86,19.25
11.57,78.08,19.35
12.24,78.08,19.45
12.46,77.86,19.55
12.68,77.86,19.65
12.46,77.86,19.75
12.68,77.64,19.85
12.24,76.97,19.95
11.57,76.75,20.05
10.46,76.30,20.15
9.57,75.86,20.25
8.68,75.19,20.35
8.01,74.53,20.45
7.34,73.41,20.55
7.34,73.19,20.65
7.56,72.97,20.75
7.79,72.97,20.85
8.01,73.19,20.95
7.79,72.97,21.05
7.79,72.75,21.15
8.23,72.08,21.25
8.45,71.19,21.35
8.45,70.30,21.45
8.23,68.96,21.55
7.79,67.18,21.65
7.12,65.63,21.75
6.45,64.07,21.85
5.56,62.73,21.95
4.67,61.62,22.05
4.45,61.18,22.15
4.45,60.51,22.25
4.89,59.62,22.35
5.34,58.29,22.45
5.56,56.73,22.55
6.01,54.95,22.65
6.45,52.72,22.75
6.45,50.94,22.85
6.45,48.50,22.95
6.23,46.27,23.05
6.01,44.27,23.15
6.01,41.82,23.25
6.23,39.60,23.35
7.12,37.82,23.45
7.79,35.82,23.55
8.90,33.59,23.65
10.01,32.26,23.75
11.35,30.03,23.85
13.79,28.25,23.95
16.24,26.47,24.05
17.80,24.69,24.15
19.80,23.14,24.25
21.80,21.13,24.35
23.58,19.35,24.45
25.36,17.35,24.55
26.92,15.35,24.65
28.48,13.57,24.75
30.03,12.01,24.85
31.59,10.68,24.95
33.59,9.34,25.05
35.82,8.68,25.15
37.82,8.01,25.25
40.27,7.79,25.35
42.49,8.01,25.45
44.49,9.12,25.55
46.05,10.23,25.65
47.61,11.57,25.75
48.94,13.35,25.85
50.50,14.91,25.95
52.06,16.46,26.05
53.84,18.02,26.15
55.84,19.58,26.25
57.62,21.36,26.35
59.84,22.69,26.45
61.84,24.25,26.55
63.62,25.81,26.65
65.85,27.59,26.75
67.85,28.92,26.85
70.08,30.26,26.95
72.52,31.14,27.05
75.19,32.03,27.15
77.19,32.48,27.25
79.64,32.92,27.35
82.31,33.37,27.45
84.54,33.59,27.55
86.98,33.81,27.65
89.43,34.26,27.75
91.88,35.15,27.85
94.10,36.26,27.95
96.33,37.15,28.05
98.55,38.26,28.15
100.33,39.38,28.25
101.89,40.71,28.35
103.00,42.27,28.45
103.45,43.83,28.55
103.67,45.83,28.65
103.45,47.38,28.75
103.00,50.05,28.85
102.56,52.28,28.95
102.11,54.73,29.05
101.67,57.17,29.15
101.22,59.62,29.25
101.00,62.07,29.35
100.78,64.51,29.45
100.55,66.52,29.55
100.55,68.07,29.65
100.11,68.30,29.75
99.66,68.96,29.85
99.22,69.63,29.95
98.77,70.52,30.05
98.11,71.86,30.15
97.66,73.64,30.25
96.77,75.19,30.35
95.88,77.19,30.45
94.77,79.20,30.55
93.88,81.20,30.65
92.10,82.98,30.75
90.54,84.31,30.85
88.76,86.09,30.95
86.98,87.21,31.05
85.20,88.76,31.15
83.42,90.10,31.25
81.64,91.65,31.35
79.64,93.21,31.45
77.64,94.77,31.55
75.64,96.33,31.65
73.64,97.44,31.75
71.41,98.77,31.85
68.74,99.89,31.95
66.07,100.55,32.05
62.51,100.78,32.15
59.62,101.22,32.25
56.73,101.89,32.35
54.50,101.89,32.45
52.06,101.89,32.55
49.39,101.89,32.65
46.94,101.44,32.75
44.72,101.00,32.85
42.49,100.33,32.95
40.27,99.89,33.05
37.82,99.00,33.15
35.82,98.55,33.25
33.37,97.88,33.35
31.14,97.22,33.45
29.14,96.33,33.55
26.92,95.21,33.65
25.14,94.10,33.75
23.36,92.54,33.85
22.02,90.99,33.95
20.69,88.99,34.05
19.35,86.98,34.15
18.24,84.76,34.25
17.13,82.76,34.35
15.79,80.98,34.45
14.68,79.20,34.55
13.13,77.64,34.65
11.57,76.30,34.75
10.01,75.19,34.85
8.45,74.08,34.95
7.34,72.97,35.05
6.90,72.08,35.15
6.90,71.63,35.25
6.90,70.52,35.35
7.12,69.41,35.45
7.12,68.30,35.55
7.34,66.74,35.65
7.34,65.18,35.75
7.56,63.62,35.85
7.34,61.62,35.95
7.12,60.07,36.05
6.67,58.51,36.15
5.78,56.95,36.25
5.34,55.17,36.35
4.89,53.61,36.45
4.89,51.39,36.55
5.12,50.05,36.65
5.78,48.50,36.75
6.67,47.16,36.85
7.79,46.27,36.95
8.90,45.83,37.05
10.23,45.38,37.15
11.79,45.38,37.25
13.57,45.61,37.35
15.35,45.83,37.45
17.13,46.27,37.55
19.35,46.94,37.65
21.13,47.38,37.75
23.36,48.50,37.85
25.58,49.61,37.95
27.59,50.94,38.05
29.59,52.28,38.15
31.59,53.61,38.25
33.37,55.39,38.35
35.15,57.17,38.45
36.48,59.18,38.55
37.60,61.62,38.65
38.49,63.85,38.75
38.49,66.07,38.85
38.49,68.52,38.95
37.82,70.97,39.05
36.93,73.19,39.15
35.82,75.19,39.25
34.26,77.42,39.35
32.92,79.20,39.45
31.14,81.20,39.55
29.37,83.20,39.65
27.59,84.76,39.75
25.58,86.09,39.85
23.58,87.21,39.95
21.58,88.32,40.05
20.24,88.99,40.15
19.35,88.76,40.25
19.13,88.32,40.35
18.69,87.43,40.45
18.24,86.54,40.55
17.35,85.20,40.65
16.91,83.65,40.75
17.13,82.09,40.85
17.80,80.31,40.95
18.46,79.20,41.05
19.58,78.08,41.15
21.13,77.19,41.25
22.91,76.53,41.35
24.69,76.53,41.45
26.70,76.75,41.55
27.81,77.86,41.65
28.48,78.75,41.75
28.48,80.09,41.85
28.92,81.20,41.95
29.14,82.76,42.05
30.03,84.31,42.15
31.14,85.43,42.25
32.26,86.76,42.35
33.81,87.65,42.45
36.04,88.32,42.55
37.82,88.99,42.65
39.60,88.54,42.75
41.60,88.10,42.85
43.60,87.43,42.95
45.38,86.54,43.05
47.38,85.65,43.15
49.39,84.98,43.25
51.61,84.31,43.35
54.06,84.09,43.45
56.51,84.09,43.55
58.95,84.31,43.65
61.18,84.76,43.75
63.85,85.65,43.85
66.29,86.54,43.95
68.52,87.87,44.05
70.74,88.99,44.15
72.75,90.54,44.25
74.75,92.32,44.35
76.30,93.88,44.45
77.19,94.99,44.55
76.97,95.21,44.65
76.75,95.21,44.75
