31-1.38,6/4/2007.2,1:30 PM
x,y,t
36.70,45.10,26.38
35.81,44.87,26.48
35.15,43.99,26.58
34.26,42.66,26.68
33.16,41.56,26.78
32.50,40.67,26.88
31.61,40.23,26.98
30.51,40.45,27.08
29.62,41.34,27.18
28.52,42.66,27.28
27.63,44.21,27.38
26.75,46.42,27.48
25.64,48.41,27.58
24.32,50.18,27.68
22.55,51.95,27.78
20.56,53.94,27.88
18.57,55.48,27.98
17.02,57.47,28.08
15.69,59.91,28.18
15.03,62.34,28.28
14.81,64.99,28.38
14.37,67.86,28.48
13.93,70.74,28.58
13.48,73.17,28.68
12.60,75.16,28.78
11.94,76.71,28.88
11.72,77.15,28.98
11.94,77.15,29.08
11.94,76.93,29.18
12.16,76.93,29.28
11.72,76.26,29.38
11.49,76.04,29.48
10.83,75.60,29.58
9.95,74.72,29.68
8.84,74.05,29.78
8.18,73.17,29.88
7.07,71.40,29.98
6.19,69.19,30.08
6.19,66.98,30.18
5.75,64.99,30.28
4.86,63.22,30.38
4.42,61.67,30.48
4.20,60.35,30.58
4.20,59.46,30.68
4.64,59.02,30.78
4.86,58.80,30.88
5.31,58.80,30.98
5.31,58.58,31.08
5.75,58.58,31.18
5.75,58.36,31.28
5.53,58.14,31.38
5.31,57.47,31.48
5.75,57.03,31.58
6.41,56.81,31.68
8.40,56.15,31.78
10.17,56.37,31.88
12.60,56.81,31.98
15.03,57.47,32.08
17.91,57.92,32.18
20.78,58.58,32.28
23.43,59.24,32.38
26.31,60.13,32.48
29.18,60.79,32.58
32.05,61.67,32.68
35.15,62.34,32.78
38.02,63.00,32.88
41.12,63.44,32.98
44.21,63.44,33.08
47.53,63.44,33.18
50.62,63.66,33.28
53.72,64.33,33.38
56.59,65.21,33.48
59.69,66.10,33.58
61.90,67.20,33.68
64.11,68.09,33.78
66.10,67.86,33.88
68.09,67.42,33.98
69.85,66.54,34.08
71.40,64.99,34.18
72.73,63.22,34.28
73.61,61.23,34.38
74.27,59.02,34.48
74.05,57.03,34.58
73.61,54.82,34.68
72.51,53.05,34.78
71.18,51.06,34.88
69.41,49.30,34.98
67.64,46.86,35.08
65.87,45.10,35.18
64.11,42.88,35.28
62.56,40.01,35.38
60.79,37.80,35.48
59.02,35.59,35.58
57.25,33.38,35.68
55.48,31.17,35.78
53.27,29.18,35.88
51.28,27.41,35.98
49.07,25.86,36.08
46.86,24.98,36.18
44.87,25.42,36.28
42.66,25.64,36.38
40.90,26.53,36.48
38.68,27.63,36.58
36.70,28.74,36.68
34.71,29.62,36.78
32.50,30.28,36.88
29.84,30.28,36.98
