31-1.12,5/28/2007,7:27 AM.1
x,y,t
52.06,11.12,0.01
52.06,11.35,0.08
51.61,12.24,0.17
51.17,13.57,0.27
50.94,15.13,0.37
49.83,16.24,0.47
49.61,17.57,0.57
49.83,18.69,0.67
50.05,19.58,0.77
51.17,19.13,0.87
51.83,18.24,0.97
52.06,17.13,1.07
52.28,15.57,1.17
52.28,14.46,1.27
52.72,13.57,1.37
53.17,12.90,1.47
54.06,12.24,1.57
54.73,12.24,1.67
56.06,12.90,1.77
56.73,13.35,1.87
56.73,14.24,1.97
55.84,15.57,2.08
54.95,16.46,2.17
53.17,18.02,2.27
52.28,19.13,2.37
52.06,20.91,2.47
52.28,22.91,2.57
52.95,24.69,2.67
52.95,26.03,2.77
52.72,28.03,2.87
51.61,29.37,2.97
49.83,30.92,3.07
47.83,31.81,3.17
45.61,32.26,3.27
43.60,32.26,3.37
41.16,31.59,3.47
38.49,31.14,3.57
35.82,30.26,3.67
33.37,29.14,3.77
32.26,27.59,3.87
31.37,25.81,3.97
31.37,23.58,4.07
31.81,21.58,4.17
32.70,20.02,4.27
33.81,19.13,4.37
34.93,18.46,4.47
36.48,18.24,4.57
37.60,18.69,4.67
38.71,19.35,4.77
40.27,20.47,4.87
41.38,21.58,4.97
42.27,22.91,5.07
42.49,25.14,5.17
42.94,27.59,5.27
43.38,30.03,5.37
43.16,32.26,5.47
42.49,34.70,5.57
41.38,36.93,5.67
40.04,38.49,5.77
38.04,39.82,5.87
36.26,40.27,5.97
34.26,40.49,6.07
32.92,40.49,6.17
31.59,39.82,6.27
30.70,38.93,6.37
30.03,37.82,6.47
29.37,36.26,6.57
29.14,34.48,6.67
29.14,32.48,6.77
29.59,30.48,6.87
30.03,28.48,6.97
30.48,26.25,7.07
30.70,23.80,7.17
31.14,21.58,7.27
31.14,19.35,7.37
31.14,16.91,7.47
31.37,14.91,7.57
32.03,12.90,7.67
32.92,11.12,7.77
33.37,10.01,7.87
34.04,9.12,7.97
34.48,8.68,8.07
