31-1,5/25/2007,10:07 AM
x,y,t
86.54,40.93,26.36
88.54,42.71,26.46
90.99,44.72,26.56
92.99,46.27,26.66
95.44,47.38,26.76
97.88,47.61,26.86
100.33,47.38,26.96
102.56,46.72,27.06
103.45,45.83,27.16
103.22,45.61,27.26
102.78,45.61,27.36
102.78,45.83,27.46
102.33,45.61,27.56
101.89,45.16,27.66
101.44,44.49,27.76
101.00,43.60,27.86
100.33,42.27,27.96
100.33,40.71,28.06
100.11,39.15,28.16
100.55,37.37,28.26
100.55,35.82,28.36
100.11,34.04,28.46
99.66,32.48,28.56
98.77,31.37,28.66
98.11,30.92,28.76
97.66,30.70,28.86
96.77,30.03,28.96
96.33,29.81,29.06
95.88,29.14,29.16
95.44,28.25,29.26
94.99,27.36,29.36
94.55,26.47,29.46
94.10,24.92,29.56
93.21,24.03,29.66
92.32,23.14,29.76
91.43,21.58,29.86
90.99,21.80,29.96
90.32,21.80,30.06
89.88,21.36,30.16
89.88,21.58,30.26
89.43,21.80,30.36
89.65,22.02,30.46
90.54,22.47,30.56
91.65,23.14,30.66
92.77,23.80,30.76
94.32,25.14,30.86
95.66,26.47,30.96
96.77,28.03,31.06
97.44,29.59,31.16
98.55,31.14,31.26
99.44,32.70,31.36
100.11,34.26,31.46
100.78,36.48,31.56
101.67,38.26,31.66
101.89,41.16,31.76
102.11,44.27,31.86
101.89,46.94,31.96
101.67,49.39,32.06
101.89,52.06,32.16
102.33,54.50,32.26
102.56,56.95,32.36
102.56,59.84,32.46
102.11,62.07,32.56
101.67,64.29,32.66
101.00,66.52,32.76
99.89,68.74,32.86
99.00,70.74,32.96
97.66,73.19,33.06
96.55,75.42,33.16
95.21,77.86,33.26
93.66,80.31,33.36
91.88,82.76,33.46
90.10,84.76,33.56
88.10,86.54,33.66
85.87,88.54,33.76
83.65,89.88,33.86
81.42,91.65,33.96
79.42,93.21,34.06
77.19,94.77,34.16
74.97,96.55,34.26
72.52,97.88,34.36
69.85,99.44,34.46
67.63,100.33,34.56
64.96,101.00,34.66
62.07,101.44,34.76
59.40,101.89,34.86
56.73,101.89,34.96
53.84,101.67,35.06
51.39,101.22,35.16
48.94,100.78,35.26
46.49,100.33,35.36
44.05,100.11,35.46
41.38,99.89,35.56
38.71,99.66,35.66
36.04,99.44,35.76
33.15,98.77,35.86
30.48,97.66,35.96
28.48,95.88,36.06
26.47,94.32,36.16
24.69,92.54,36.26
22.47,90.77,36.36
20.69,88.76,36.46
18.69,86.98,36.56
16.68,85.43,36.66
15.13,83.42,36.76
13.35,81.64,36.86
11.79,79.86,36.96
10.46,77.86,37.06
9.57,75.64,37.16
8.23,73.64,37.26
7.56,71.86,37.36
6.90,69.85,37.46
6.23,67.41,37.56
5.56,65.63,37.66
5.78,62.73,37.76
5.56,59.40,37.86
5.56,56.51,37.96
6.01,53.61,38.06
6.90,50.94,38.16
8.01,48.50,38.26
9.34,46.05,38.36
10.90,44.27,38.46
12.68,42.49,38.56
14.46,40.71,38.66
15.79,38.71,38.76
17.57,36.93,38.86
18.91,34.93,38.96
19.80,32.92,39.06
20.24,30.92,39.16
20.69,28.70,39.26
20.47,26.70,39.36
19.80,24.92,39.46
19.13,22.91,39.56
18.02,21.58,39.66
17.57,21.13,39.76
17.80,21.36,39.86
17.80,21.36,39.96
18.69,20.69,40.06
19.35,20.47,40.16
19.80,19.80,40.26
20.47,19.58,40.36
22.25,18.24,40.46
24.92,16.68,40.56
27.36,15.35,40.66
29.81,14.24,40.76
32.26,13.13,40.86
34.93,12.01,40.96
37.15,10.90,41.06
39.38,10.01,41.16
41.60,9.12,41.26
44.27,8.45,41.36
46.94,7.79,41.46
49.16,7.34,41.56
51.83,7.12,41.66
54.50,7.34,41.76
57.17,7.79,41.86
59.40,8.23,41.96
62.07,8.68,42.06
64.29,9.34,42.16
66.74,10.23,42.26
68.96,11.35,42.36
70.97,12.90,42.46
72.75,14.68,42.56
74.08,16.46,42.66
75.42,18.69,42.76
76.75,20.91,42.86
77.42,23.14,42.96
78.08,25.58,43.06
78.31,27.81,43.16
78.31,30.48,43.26
77.86,32.92,43.36
77.19,35.15,43.46
76.53,37.37,43.56
75.19,39.60,43.66
73.86,41.82,43.76
72.30,43.60,43.86
70.97,45.83,43.96
69.63,47.83,44.06
68.30,50.28,44.16
67.41,52.50,44.26
66.29,54.73,44.36
65.18,56.95,44.46
63.40,59.18,44.56
61.84,61.40,44.66
59.84,63.18,44.76
57.40,64.74,44.86
55.39,66.29,44.96
52.95,67.41,45.06
50.28,68.30,45.16
47.83,68.96,45.26
45.16,69.85,45.36
42.94,70.74,45.46
40.93,72.30,45.56
39.15,73.86,45.66
37.60,75.64,45.76
36.26,77.64,45.86
34.93,79.64,45.96
33.37,81.87,46.06
31.59,83.65,46.16
30.03,85.43,46.26
28.03,87.87,46.36
26.03,89.88,46.46
24.47,91.88,46.56
23.14,93.43,46.66
23.36,93.88,46.76
23.80,93.66,46.86
23.36,93.66,46.96
23.36,93.21,47.06
