dd_744,5/25/2007,10:21 a.m.
x,y,t
234.95,57.93,0.03
234.51,58.38,0.07
234.06,58.38,0.10
234.06,58.83,0.13
233.62,59.28,0.17
233.62,59.28,0.20
233.62,59.73,0.23
233.18,60.18,0.27
233.18,60.63,0.30
232.73,61.08,0.33
232.73,61.52,0.37
232.73,61.52,0.40
232.73,61.52,0.43
233.18,62.87,0.47
233.62,62.87,0.50
234.06,63.32,0.53
234.51,63.32,0.57
234.51,63.32,0.60
234.51,63.32,0.63
235.39,63.32,0.67
235.39,63.32,0.70
235.39,63.32,0.73
235.39,63.32,0.77
235.39,63.77,0.80
235.84,63.77,0.83
235.84,63.77,0.87
236.28,63.77,0.90
236.28,63.77,0.93
236.72,63.77,0.97
236.72,63.77,1.00
237.16,63.77,1.03
237.16,63.32,1.07
237.16,63.32,1.10
237.61,62.87,1.13
237.61,62.87,1.17
237.61,62.87,1.20
237.61,62.87,1.23
238.05,61.97,1.27
238.49,61.52,1.30
238.49,61.52,1.33
238.49,61.08,1.37
238.49,61.08,1.40
238.94,60.63,1.43
238.94,59.28,1.47
238.94,59.28,1.50
239.38,58.38,1.53
239.38,57.93,1.57
239.38,57.93,1.60
239.38,57.48,1.63
239.82,56.58,1.67
240.27,56.14,1.70
240.27,55.69,1.74
240.27,54.79,1.77
240.27,54.79,1.80
240.71,54.34,1.84
240.71,53.44,1.87
241.15,52.99,1.90
241.15,52.09,1.94
241.15,52.09,1.97
241.15,52.09,2.00
241.15,51.64,2.04
241.15,51.20,2.07
241.15,51.20,2.10
241.15,51.20,2.14
240.71,51.20,2.17
240.71,51.20,2.20
240.71,51.20,2.24
240.71,51.20,2.27
240.71,51.20,2.30
240.71,51.20,2.34
240.71,51.20,2.37
240.71,51.20,2.40
240.27,51.20,2.44
239.82,50.75,2.47
239.82,50.75,2.50
239.38,50.75,2.54
239.38,50.75,2.57
239.38,50.75,2.60
238.94,50.75,2.64
238.49,50.75,2.67
238.05,50.75,2.70
237.61,50.75,2.74
237.16,50.75,2.77
237.16,50.75,2.80
237.16,50.75,2.84
236.28,51.20,2.87
235.84,51.64,2.90
235.39,52.09,2.94
235.39,52.54,2.97
235.39,52.54,3.00
234.95,52.99,3.04
234.51,53.89,3.07
234.06,54.34,3.10
233.62,54.79,3.14
233.18,55.24,3.17
233.18,55.24,3.20
233.18,55.69,3.24
232.29,57.03,3.27
231.85,57.48,3.30
231.40,58.38,3.34
230.96,58.83,3.37
230.96,58.83,3.40
230.52,59.73,3.44
229.63,61.08,3.47
229.19,61.52,3.50
228.74,61.97,3.54
228.30,62.87,3.57
228.30,62.87,3.60
227.86,63.77,3.64
227.41,64.67,3.67
226.97,65.57,3.70
226.53,66.02,3.74
226.08,66.46,3.77
226.08,66.46,3.80
225.64,66.91,3.84
225.20,68.71,3.87
225.20,69.16,3.90
224.75,70.06,3.94
224.31,70.51,3.97
224.31,70.51,4.00
224.31,71.40,4.04
223.87,72.75,4.07
223.42,73.65,4.10
223.42,74.10,4.14
223.42,75.00,4.17
223.42,75.00,4.20
222.98,75.45,4.24
222.54,76.79,4.27
222.54,77.69,4.30
222.09,78.14,4.34
222.09,78.59,4.37
222.09,78.59,4.40
222.09,79.04,4.44
221.65,80.39,4.47
221.65,80.39,4.50
221.21,81.28,4.54
221.21,81.73,4.57
221.21,81.73,4.60
221.21,82.18,4.64
220.76,82.63,4.67
220.76,83.08,4.70
220.76,83.53,4.74
220.32,83.98,4.77
220.32,83.98,4.80
220.32,84.88,4.84
219.88,85.78,4.87
219.43,86.22,4.90
219.43,86.67,4.94
218.99,87.12,4.97
218.99,87.12,5.00
218.99,87.57,5.04
218.55,88.47,5.07
218.10,89.37,5.11
217.66,89.82,5.14
217.66,90.27,5.17
217.66,90.27,5.21
217.66,91.16,5.24
217.22,92.06,5.27
217.22,92.51,5.31
217.22,92.51,5.34
217.22,92.96,5.37
217.22,92.96,5.41
217.22,92.96,5.44
216.77,93.86,5.47
216.77,93.86,5.51
216.77,94.31,5.54
216.77,94.76,5.57
217.22,95.21,5.61
217.22,95.21,5.64
216.77,95.66,5.67
217.22,95.66,5.71
217.22,95.66,5.74
217.22,96.10,5.77
217.22,96.10,5.81
217.22,96.10,5.84
217.66,96.55,5.87
218.10,97.00,5.91
218.10,97.00,5.94
218.55,97.00,5.97
218.99,97.00,6.01
218.99,97.00,6.04
219.43,97.45,6.07
219.43,97.00,6.11
220.32,97.00,6.14
220.32,97.00,6.17
220.76,97.00,6.21
220.76,97.00,6.24
220.76,96.55,6.27
221.21,96.55,6.31
221.65,96.10,6.34
221.65,95.66,6.37
222.09,94.76,6.41
222.09,94.76,6.44
222.54,94.31,6.47
222.54,94.31,6.51
222.54,93.86,6.54
222.54,93.41,6.57
222.54,92.96,6.61
222.54,92.96,6.64
222.98,92.06,6.67
222.98,91.61,6.71
222.98,91.16,6.74
222.98,90.72,6.77
222.98,89.82,6.81
222.98,89.82,6.84
222.54,88.92,6.87
222.54,88.47,6.91
222.09,87.57,6.94
222.09,87.12,6.97
221.65,86.67,7.01
221.65,86.67,7.04
221.65,85.78,7.07
221.21,84.88,7.11
220.76,84.43,7.14
220.76,83.53,7.17
220.32,83.08,7.21
220.32,83.08,7.24
219.88,81.73,7.27
219.88,81.28,7.31
219.43,80.84,7.34
219.43,79.94,7.37
218.99,79.49,7.41
218.99,79.49,7.44
218.55,77.69,7.47
218.55,77.24,7.51
218.10,76.79,7.54
218.10,75.90,7.57
217.66,75.00,7.61
