Date,Time,Day,Trial,Animal,Trial Code,Strategy Type,CSE,velocity,totalDistance,distanceAverage,averageHeadingError,percentTraversed,latency,corridorAverage,score,initial heading error,entropy
2007-05-25,1:11 AM,1,1,Jan-37,37-1 1 1,Thigmotaxis (m),2828.59,17.07,1022.97,49.41,84.38,21.53,59.94,0.2,0,73.36658215,0
2007-05-25,1:13 AM,1,1,Feb-37,37-2 1 1,Thigmotaxis (m),2338.63,18.4,1103.46,41.54,84.1,47.22,59.96,0.41,0,85.85929801,0
2007-05-25,1:16 AM,1,1,Mar-37,37-3 1 1,Thigmotaxis (m),3665.96,18.32,1098.14,63.49,85.01,47.22,59.94,0.14,0,78.75945689,0
2007-05-25,1:23 AM,1,2,Jan-37,37-1 1 2,Thigmotaxis (m),3263.78,19.62,1176.64,54.84,93.42,57.64,59.98,0.05,0,98.89909286,0
2007-05-25,1:26 AM,1,2,Feb-37,37-2 1 2,Thigmotaxis (m),3111.98,19.67,1179.59,52.3,87.55,18.75,59.98,0.11,0,49.72951231,0
2007-05-25,1:28 AM,1,2,Mar-37,37-3 1 2,Thigmotaxis (m),3216.71,17.49,1048.14,53.9,91.41,40.97,59.94,0.07,0,110.601434,0
2007-05-25,1:35 AM,1,3,Jan-37,37-1 1 3,Thigmotaxis (m),2847.31,16.31,977.5,48.07,86.54,26.39,59.92,0.1,0,70.20028133,0
2007-05-25,1:37 AM,1,3,Feb-37,37-2 1 3,Thigmotaxis (m),2196.73,20.3,1195.65,37.67,85.98,44.44,58.9,0.29,0,70.56891164,0
2007-05-25,1:39 AM,1,3,Mar-37,37-3 1 3,Random Search (m),2503.08,13.48,808.03,42.42,89.5,35.42,59.93,0.1,1,81.01110006,0
2007-05-25,1:43 AM,1,4,Jan-37,37-1 1 4,Random Search (m),2841.57,15.09,905.07,50.46,86.53,55.56,59.98,0.33,0,59.12464583,0
2007-05-25,1:45 AM,1,4,Feb-37,37-2 1 4,Thigmotaxis (m),3339.37,16.51,989.78,57.9,103.68,33.33,59.94,0.22,0,134.876815,0
2007-05-25,1:47 AM,1,4,Mar-37,37-3 1 4,Random Search (m),3251.15,14.57,873.13,57.12,86.51,47.22,59.92,0.24,0,65.16458918,0
2007-05-25,10:07 AM,1,1,31-Jan,31-1 1 1,Thigmotaxis (m),2674.92,21.25,1274.39,44.93,88.56,43.75,59.96,0.17,0,109.5138119,0
2007-05-25,10:10 AM,1,1,Feb-31,31-2 1 1,Thigmotaxis (m),2376.12,17.09,1025.1,40.04,92.29,18.06,59.99,0.21,0,122.6271362,0
2007-05-25,10:13 AM,1,1,Jan-32,32-1 1 1,Thigmotaxis (m),2792.48,19.19,1150.99,47.41,89.14,46.53,59.97,0.18,0,107.4682905,0
2007-05-25,10:17 AM,1,1,Feb-32,32-2 1 1,Thigmotaxis (m),3218.47,20.33,1217.94,53.97,90.47,40.97,59.92,0.13,0,96.77573502,0
2007-05-25,10:21 AM,1,2,31-Jan,31-1 1 2,Thigmotaxis (m),2564.22,17.86,1070.83,45,88.3,34.03,59.95,0.35,0,87.4140307,0
2007-05-25,10:23 AM,1,2,Feb-31,31-2 1 2,Directed Search (m),230.77,16.94,157.05,41.63,44.5,10.42,9.27,0.56,2,58.1927654,0
2007-05-25,10:25 AM,1,2,Jan-32,32-1 1 2,Thigmotaxis (m),2869.66,17.45,1046.35,50.37,88.39,41.67,59.95,0.33,0,28.15002183,0
